complaint_id,student_id,hostel_id,complaint_text,category,subcategory,priority,ai_suggestion,status
CMP-2026-2424,STU-100,HST-056,"Mosquitoes everywhere, no nets provided.",Cleanliness,Room Cleaning,Low,Schedule housekeeping to clean the area immediately.,Acknowledged
CMP-2024-9928,STU-172,HST-071,Warden is very rude when approached.,Staff Behavior,Warden,Medium,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2025-6574,STU-041,HST-064,Warden threatened to fine for a minor rule.,Staff Behavior,Cook,Low,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2025-5333,STU-087,HST-022,Security guard often missing after 10 PM.,Safety/Security,Unauthorized Entry,High,Investigate immediately; if serious call police.,Submitted
CMP-2026-6925,STU-074,HST-026,"Fan regulator broken, fan running at full speed.",Maintenance,Other Maintenance,High,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2024-2654,STU-047,HST-030,My roommate plays loud music after 11 PM.,Noise/Disturbance,External Noise,Low,Warn the noisy party and enforce quiet hours.,Resolved
CMP-2026-2169,STU-092,HST-027,Warden threatened to fine for a minor rule.,Staff Behavior,Cleaner,Medium,Counsel the staff member; involve owner if repeated.,Acknowledged
CMP-2026-4598,STU-091,HST-071,Bread/chapati are undercooked.,Food Quality,Taste,Low,Inspect kitchen and food storage; check hygiene.,Acknowledged
CMP-2026-6155,STU-057,HST-020,Roommate smokes in the room.,Roommate Issue,Cleanliness,Medium,Mediate between roommates; offer room change if needed.,Submitted
CMP-2026-9830,STU-111,HST-046,People running and stomping upstairs.,Noise/Disturbance,External Noise,Medium,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2024-2796,STU-065,HST-053,My phone went missing from study room.,Safety/Security,Security Guard,High,Investigate immediately; if serious call police.,Submitted
CMP-2026-5119,STU-159,HST-001,Hair found in food twice this week.,Food Quality,Taste,Medium,Inspect kitchen and food storage; check hygiene.,Resolved
CMP-2025-1053,STU-151,HST-003,I want to change my room.,Other,General,Medium,Review student request and respond within 48 hours.,Submitted
CMP-2024-9837,STU-142,HST-034,Outsider came inside without permission.,Safety/Security,Unauthorized Entry,Medium,Investigate immediately; if serious call police.,Submitted
CMP-2025-4923,STU-129,HST-073,My mattress is too old and uncomfortable.,Other,General,Low,Review student request and respond within 48 hours.,In Progress
CMP-2026-3060,STU-173,HST-051,Water leakage from ceiling during rain.,Maintenance,Electrical,Low,Assign technician to fix the issue within 24 hours.,Resolved
CMP-2024-9835,STU-163,HST-068,Fruit provided is rotten.,Food Quality,Portion Size,Low,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2024-5061,STU-081,HST-044,"Party in neighboring room, can't sleep.",Noise/Disturbance,External Noise,Medium,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2024-1964,STU-030,HST-021,Door banging repeatedly.,Noise/Disturbance,Night Noise,Medium,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2024-9834,STU-158,HST-041,Students shouting late at night in common room.,Noise/Disturbance,Night Noise,Medium,Warn the noisy party and enforce quiet hours.,Acknowledged
CMP-2025-7939,STU-032,HST-053,Very little chicken/vegetables served.,Food Quality,Portion Size,High,Inspect kitchen and food storage; check hygiene.,Acknowledged
CMP-2024-5073,STU-002,HST-072,Warden is very rude when approached.,Staff Behavior,Security,Low,Counsel the staff member; involve owner if repeated.,In Progress
CMP-2024-8260,STU-086,HST-060,People running and stomping upstairs.,Noise/Disturbance,Night Noise,Medium,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2024-7658,STU-168,HST-009,Curfew time is too early for exam preparation.,Other,General,Low,Review student request and respond within 48 hours.,In Progress
CMP-2025-8454,STU-175,HST-061,Food bill is higher than agreed.,Billing/Payment Dispute,Deposit Refund,Medium,Review charges with account; provide receipt.,Resolved
CMP-2026-9883,STU-131,HST-031,Emergency exit blocked with boxes.,Safety/Security,Security Guard,High,Investigate immediately; if serious call police.,Submitted
CMP-2026-3579,STU-147,HST-060,Tiles cracked in common washroom.,Maintenance,Other Maintenance,Medium,Assign technician to fix the issue within 24 hours.,Resolved
CMP-2025-2964,STU-184,HST-043,AC not cooling properly in Room 196.,Maintenance,Door/Window,High,Assign technician to fix the issue within 24 hours.,In Progress
CMP-2025-4346,STU-091,HST-056,Students shouting late at night in common room.,Noise/Disturbance,External Noise,Medium,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2024-1152,STU-186,HST-039,Roommate brings food and leaves plates for days.,Roommate Issue,Noise,Medium,Mediate between roommates; offer room change if needed.,Resolved
CMP-2025-2127,STU-030,HST-030,Security deposit not refunded after leaving.,Billing/Payment Dispute,Unexpected Fee,Medium,Review charges with account; provide receipt.,Submitted
CMP-2026-9666,STU-150,HST-027,"Party in neighboring room, can't sleep.",Noise/Disturbance,Roommate Noise,Low,Warn the noisy party and enforce quiet hours.,Acknowledged
CMP-2024-2753,STU-008,HST-048,Cupboard door off its hinges.,Maintenance,Other Maintenance,Low,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2026-5325,STU-058,HST-015,Request for a separate study table.,Other,Suggestion,Low,Review student request and respond within 48 hours.,Submitted
CMP-2025-3143,STU-006,HST-066,Request for a separate study table.,Other,Curfew,Low,Review student request and respond within 48 hours.,Submitted
CMP-2026-3442,STU-074,HST-002,Emergency exit blocked with boxes.,Safety/Security,Unauthorized Entry,High,Investigate immediately; if serious call police.,Submitted
CMP-2025-1653,STU-124,HST-009,My mattress is too old and uncomfortable.,Other,General,Medium,Review student request and respond within 48 hours.,Submitted
CMP-2026-3532,STU-162,HST-041,Roommate smokes in the room.,Roommate Issue,Noise,Low,Mediate between roommates; offer room change if needed.,Submitted
CMP-2025-5065,STU-041,HST-041,Construction noise from next building all day.,Noise/Disturbance,Night Noise,Low,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2025-6728,STU-195,HST-043,Outsider came inside without permission.,Safety/Security,Unauthorized Entry,High,Investigate immediately; if serious call police.,In Progress
CMP-2024-5573,STU-001,HST-018,Security guard often missing after 10 PM.,Safety/Security,Unauthorized Entry,High,Investigate immediately; if serious call police.,Submitted
CMP-2025-1626,STU-054,HST-004,Constant arguments with roommate.,Roommate Issue,Personal Space,Medium,Mediate between roommates; offer room change if needed.,Resolved
CMP-2026-4114,STU-095,HST-021,Bathroom mirror and sink are never cleaned.,Cleanliness,Pest Control,Low,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2026-4228,STU-067,HST-010,My phone went missing from study room.,Safety/Security,Theft,Medium,Investigate immediately; if serious call police.,Resolved
CMP-2025-9308,STU-032,HST-065,Roommate has guests late at night.,Roommate Issue,Personal Space,Low,Mediate between roommates; offer room change if needed.,Submitted
CMP-2026-7211,STU-142,HST-037,Feeling unsafe due to unverified visitors.,Safety/Security,Security Guard,High,Investigate immediately; if serious call police.,Submitted
CMP-2026-6279,STU-013,HST-066,Hair found in food twice this week.,Food Quality,Hygiene,High,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2026-3780,STU-082,HST-026,Warden asking for extra money for repairs.,Billing/Payment Dispute,Deposit Refund,Low,Review charges with account; provide receipt.,Resolved
CMP-2024-3414,STU-018,HST-038,Rats in the kitchen area.,Cleanliness,Common Area,Medium,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2026-4185,STU-098,HST-023,"Window latch broken, cannot close properly.",Maintenance,Plumbing,Medium,Assign technician to fix the issue within 24 hours.,In Progress
CMP-2024-7965,STU-092,HST-012,Canteen staff not serving on time.,Staff Behavior,Security,Low,Counsel the staff member; involve owner if repeated.,In Progress
CMP-2024-8612,STU-096,HST-005,People running and stomping upstairs.,Noise/Disturbance,Night Noise,Low,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2025-8373,STU-161,HST-029,Need a warmer blanket for winter.,Other,Room Change,Medium,Review student request and respond within 48 hours.,Submitted
CMP-2025-4841,STU-055,HST-056,Gate left unlocked at night.,Safety/Security,Unauthorized Entry,High,Investigate immediately; if serious call police.,Submitted
CMP-2024-4505,STU-196,HST-023,Feeling unsafe due to unverified visitors.,Safety/Security,CCTV Issue,High,Investigate immediately; if serious call police.,Submitted
CMP-2025-7381,STU-132,HST-017,"Floor has sticky stains, not mopped properly.",Cleanliness,Pest Control,Medium,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2025-9818,STU-069,HST-067,"Geyser not working, no hot water.",Maintenance,Door/Window,High,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2026-7624,STU-127,HST-072,Need a warmer blanket for winter.,Other,Suggestion,Low,Review student request and respond within 48 hours.,Submitted
CMP-2024-8022,STU-014,HST-062,Bread/chapati are undercooked.,Food Quality,Portion Size,Medium,Inspect kitchen and food storage; check hygiene.,Acknowledged
CMP-2025-7211,STU-052,HST-047,Bread/chapati are undercooked.,Food Quality,Portion Size,Medium,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2025-4673,STU-086,HST-048,Gate left unlocked at night.,Safety/Security,Security Guard,Medium,Investigate immediately; if serious call police.,Submitted
CMP-2025-2874,STU-021,HST-065,Room not cleaned for 1 days.,Cleanliness,Room Cleaning,Medium,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2024-3683,STU-175,HST-069,"Party in neighboring room, can't sleep.",Noise/Disturbance,Roommate Noise,Low,Warn the noisy party and enforce quiet hours.,In Progress
CMP-2024-4978,STU-037,HST-046,My laptop was stolen from room.,Safety/Security,Theft,High,Investigate immediately; if serious call police.,In Progress
CMP-2025-2129,STU-043,HST-069,Trash piled up near the entrance.,Cleanliness,Common Area,Medium,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2025-3506,STU-138,HST-016,Curfew time is too early for exam preparation.,Other,Room Change,Medium,Review student request and respond within 48 hours.,Submitted
CMP-2025-6280,STU-075,HST-064,Warden doesn't listen to complaints.,Staff Behavior,Cook,Medium,Counsel the staff member; involve owner if repeated.,In Progress
CMP-2025-1470,STU-059,HST-031,"Party in neighboring room, can't sleep.",Noise/Disturbance,Night Noise,Medium,Warn the noisy party and enforce quiet hours.,Acknowledged
CMP-2026-5526,STU-079,HST-008,Unexplained deduction from rent.,Billing/Payment Dispute,Deposit Refund,Low,Review charges with account; provide receipt.,Submitted
CMP-2026-8800,STU-063,HST-042,Internet quota exhausted too quickly.,Other,General,Low,Review student request and respond within 48 hours.,In Progress
CMP-2026-7046,STU-082,HST-027,Charged for electricity even though it's included.,Billing/Payment Dispute,Deposit Refund,Medium,Review charges with account; provide receipt.,Submitted
CMP-2025-6023,STU-032,HST-043,Double charged for this month's rent.,Billing/Payment Dispute,Unexpected Fee,Medium,Review charges with account; provide receipt.,In Progress
CMP-2026-4033,STU-146,HST-013,Outsider came inside without permission.,Safety/Security,Unauthorized Entry,Medium,Investigate immediately; if serious call police.,Resolved
CMP-2025-2647,STU-131,HST-008,People running and stomping upstairs.,Noise/Disturbance,Night Noise,Low,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2025-1745,STU-132,HST-024,Talking loudly in corridor after quiet hours.,Noise/Disturbance,Roommate Noise,High,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2025-8690,STU-163,HST-042,"Bed frame creaking loudly, needs oiling.",Maintenance,Door/Window,High,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2024-7565,STU-011,HST-058,Double charged for this month's rent.,Billing/Payment Dispute,Deposit Refund,Low,Review charges with account; provide receipt.,Submitted
CMP-2024-2940,STU-170,HST-016,Charged for electricity even though it's included.,Billing/Payment Dispute,Overcharging,Low,Review charges with account; provide receipt.,Submitted
CMP-2026-8025,STU-150,HST-015,Internet quota exhausted too quickly.,Other,Curfew,Low,Review student request and respond within 48 hours.,Submitted
CMP-2024-3847,STU-069,HST-058,Outsider came inside without permission.,Safety/Security,Theft,High,Investigate immediately; if serious call police.,Submitted
CMP-2024-4792,STU-012,HST-008,Need permission to keep a bicycle inside.,Other,General,Low,Review student request and respond within 48 hours.,Submitted
CMP-2026-4241,STU-131,HST-026,Emergency exit blocked with boxes.,Safety/Security,CCTV Issue,Low,Investigate immediately; if serious call police.,In Progress
CMP-2025-5728,STU-186,HST-041,Security guard uses offensive language.,Staff Behavior,Warden,High,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2025-8172,STU-149,HST-074,Warden asking for extra money for repairs.,Billing/Payment Dispute,Overcharging,Low,Review charges with account; provide receipt.,Submitted
CMP-2026-1339,STU-179,HST-005,"Floor has sticky stains, not mopped properly.",Cleanliness,Room Cleaning,High,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2026-8141,STU-191,HST-059,CCTV camera not working near entrance.,Safety/Security,Theft,Low,Investigate immediately; if serious call police.,Submitted
CMP-2024-6403,STU-091,HST-043,Warden asking for extra money for repairs.,Billing/Payment Dispute,Overcharging,Medium,Review charges with account; provide receipt.,Submitted
CMP-2025-2899,STU-177,HST-023,Warden doesn't listen to complaints.,Staff Behavior,Security,Medium,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2025-8242,STU-195,HST-064,Warden threatened to fine for a minor rule.,Staff Behavior,Warden,Medium,Counsel the staff member; involve owner if repeated.,Acknowledged
CMP-2024-1472,STU-033,HST-029,"Bed frame creaking loudly, needs oiling.",Maintenance,Electrical,Medium,Assign technician to fix the issue within 24 hours.,Acknowledged
CMP-2024-8560,STU-113,HST-006,Construction noise from next building all day.,Noise/Disturbance,External Noise,Medium,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2025-4993,STU-148,HST-047,Bedsheets not changed for two weeks.,Cleanliness,Bathroom,Medium,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2024-5526,STU-146,HST-033,Unexplained deduction from rent.,Billing/Payment Dispute,Unexpected Fee,Medium,Review charges with account; provide receipt.,In Progress
CMP-2026-9022,STU-030,HST-007,Warden doesn't listen to complaints.,Staff Behavior,Cleaner,Low,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2025-6272,STU-011,HST-043,Fruit provided is rotten.,Food Quality,Portion Size,Medium,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2025-8749,STU-037,HST-072,Talking loudly in corridor after quiet hours.,Noise/Disturbance,External Noise,Low,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2024-8213,STU-001,HST-037,Cleaner shouted at me for no reason.,Staff Behavior,Security,Medium,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2025-6546,STU-039,HST-051,Room not cleaned for 2 days.,Cleanliness,Pest Control,High,Schedule housekeeping to clean the area immediately.,In Progress
CMP-2025-9864,STU-043,HST-069,Staff enters room without knocking.,Staff Behavior,Warden,Medium,Counsel the staff member; involve owner if repeated.,In Progress
