user_id,gender,age,occupation,workplace_name,workplace_lat,workplace_lon,budget_min,budget_max,price_sensitivity,max_distance_km,needs_transport,preferred_room_type,food_preference,work_env_preference,social_preference,comfort_preference,noise_tolerance,curfew_flexibility,must_have_amenities,priority_wifi,priority_parking,priority_laundry,priority_power_backup,priority_ac,priority_hot_water,priority_security,priority_prayer_room
JOB-001,Male,22,Data Analyst,I-8 Markaz,33.664571,73.064784,16935,20359,0.61,1.2,0,Single,Both,0.72,0.44,0.73,0.38,0.59,"Common Room, Hot Water, WiFi, Parking, Generator, Security Guard",1,1,0,0,0,1,1,0
JOB-002,Female,27,Civil Engineer,F-10 Markaz,33.698484,72.962847,13635,24302,0.76,6.1,1,Single,Non-Veg,0.36,0.28,0.68,0.45,0.55,"Transport Nearby, Power Backup, WiFi, Laundry",1,0,1,1,0,0,0,0
JOB-003,Female,45,Graphic Designer,F-10 Markaz,33.703082,72.968555,13977,21306,0.46,2.5,1,Double,Both,0.75,0.47,0.4,0.39,0.41,"Hot Water, Prayer Room, Security Guard, Laundry, AC, Generator",0,0,1,0,1,1,1,1
JOB-004,Male,28,Teacher,Centaurus Mall Area,33.713419,73.048059,17292,33650,0.7,2.5,1,Single,Both,0.62,0.26,0.45,0.32,0.48,"Common Room, Generator, AC, Laundry, Parking, Hot Water",0,1,1,0,1,1,0,0
JOB-005,Female,25,Teacher,F-10 Markaz,33.699445,72.96386,14916,18997,0.47,5.2,1,Single,Non-Veg,0.98,0.62,0.31,0.39,0.78,"Prayer Room, AC, Power Backup, Hot Water, Generator",0,0,0,1,1,1,0,1
JOB-006,Male,30,Data Analyst,F-11 Markaz,33.709691,72.960123,9743,32232,0.41,5.5,1,Double,Veg,0.56,0.2,0.87,0.47,0.94,"CCTV, WiFi, Power Backup, AC, Hot Water",1,0,0,1,1,1,0,0
JOB-007,Male,23,Real Estate Agent,F-10 Markaz,33.69837,72.969076,9133,28588,0.74,1.9,1,Shared,Veg,0.49,0.62,0.55,0.18,0.68,"Transport Nearby, Hot Water, Generator, AC",0,0,0,0,1,1,0,0
JOB-008,Female,40,Sales Representative,F-10 Markaz,33.700966,72.962324,8344,29621,0.59,5.1,1,Single,Both,0.74,0.24,0.84,0.44,0.35,"Hot Water, Prayer Room, CCTV, Laundry",0,0,1,0,0,1,0,1
JOB-009,Male,35,Real Estate Agent,Bahria Town Phase 4,33.530563,72.926554,14669,22908,0.27,5.6,1,Single,Non-Veg,0.63,0.54,0.7,0.49,0.37,"Transport Nearby, AC, Power Backup, Laundry, Security Guard, Common Room",0,0,1,1,1,0,1,0
JOB-010,Female,26,HR Manager,G-11 Markaz,33.670402,72.986092,9235,25755,0.77,7.0,1,Single,Both,1.0,0.6,0.88,0.47,0.89,"Generator, CCTV, Prayer Room, Laundry",0,0,1,0,0,0,0,1
JOB-011,Female,40,HR Manager,Stock Exchange (ISE),33.702034,73.050247,15454,26801,0.5,7.7,1,Shared,Both,0.76,0.39,0.41,0.19,0.34,"Transport Nearby, AC, WiFi",1,0,0,0,1,0,0,0
